Downcast,Hour,minute,second,s/1000,Count,App_in_hse
6,19,53,16,168,1,0
6,19,53,16,976,0,0
6,19,53,17,34,1,0
6,19,53,17,149,0,0
6,19,53,17,611,0,0
6,19,53,17,842,0,0
6,19,53,18,535,1,0
6,19,53,18,996,0,0
6,19,53,19,285,0,0
6,19,53,19,573,0,0
6,19,53,19,747,0,0
6,19,53,20,554,0,0
6,19,53,20,785,0,0
6,19,53,21,247,0,0
6,19,53,21,824,0,0
6,19,53,21,882,0,0
6,19,53,22,286,0,0
6,19,53,22,863,0,0
6,19,53,24,306,0,0
6,19,53,26,268,0,0
6,19,53,26,499,0,0
6,19,53,26,614,0,0
6,19,53,26,788,0,0
6,19,53,26,903,0,0
6,19,53,27,192,0,0
6,19,53,27,288,0,0
6,19,53,27,398,0,1
6,19,53,27,577,0,0
6,19,53,27,750,0,0
6,19,53,27,808,0,0
6,19,53,27,981,0,0
6,19,53,30,539,0,0
6,19,53,30,943,0,0
6,19,53,32,675,0,0
6,19,53,35,964,0,0
6,19,53,36,80,0,0
6,19,53,36,715,0,0
6,19,53,37,176,0,0
6,19,53,38,388,0,0
6,19,53,38,677,0,0
6,19,53,40,350,0,0
6,19,53,40,524,0,0
6,19,53,42,774,0,0
6,19,53,45,372,0,0
6,19,53,29,616,0,1
6,19,53,30,770,0,2
6,19,53,35,387,0,1
6,19,53,36,541,0,1
6,19,53,40,4,0,1
6,19,53,43,467,0,1
6,19,53,46,641,0,0
6,19,53,47,738,0,0
6,19,53,48,373,0,0
6,19,53,49,354,0,0
6,19,53,50,47,0,0
6,19,53,50,451,0,0
6,19,53,51,143,0,0
6,19,53,51,316,0,0
6,19,53,51,489,0,0
6,19,53,51,547,0,0
6,19,53,52,124,0,0
6,19,53,52,701,0,0
6,19,53,54,317,0,0
6,19,53,57,30,0,0
6,19,53,57,722,0,0
6,19,53,57,896,0,0
6,19,53,58,69,0,0
6,19,53,58,415,0,0
6,19,53,58,473,0,0
6,19,54,1,532,0,0
6,19,54,1,647,0,0
6,19,54,1,686,0,0
6,19,53,49,296,0,1
6,19,53,59,973,0,1
6,19,54,4,187,0,0
6,19,54,5,687,0,0
6,19,54,7,72,0,0
6,19,54,7,188,0,0
6,19,54,8,284,0,0
