"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL"
5,19,36,36,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,36,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,37,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,37,129,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,37,244,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,37,533,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,37,591,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,37,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,38,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,38,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,38,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,38,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,38,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,38,918,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,39,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,39,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,39,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,39,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,39,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,40,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,40,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,40,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,40,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,40,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,24,663,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,19,36,25,817,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,
5,19,36,28,126,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,29,280,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,30,424,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
5,19,36,32,743,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,19,36,33,879,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,19,36,35,51,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,19,36,37,360,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,19,36,39,668,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,40,823,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,19,36,41,111,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,41,284,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,41,631,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,41,746,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,41,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,42,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,42,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,42,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,42,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,42,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,42,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,42,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,43,74,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19,36,43,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,43,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,43,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,43,362,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,
5,19,36,43,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,43,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,43,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,43,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,43,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,44,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,44,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,44,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,44,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,44,747,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,45,94,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,45,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,45,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,45,440,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,45,728,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
5,19,36,46,17,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,46,248,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,46,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,46,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,46,652,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,46,767,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,46,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,46,998,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,47,56,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,47,114,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,47,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,47,575,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,47,691,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,47,864,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,48,37,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,48,268,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,48,845,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,49,76,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,49,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,49,711,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,
5,19,36,49,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,50,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
